scenario,building,city,year,occupied_hours,unmet_hours,annual_kwh,peak_kw,baseline_peak_year,baseline_peak_kw,ulh_ratio,ulh_percent,stress_index,stress_per_1000kwh,peak_ratio
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2086,2349,548.3333333333483,428091.6666667009,162.92512881397056,2025,214.10830628208268,0.2334326663828643,23.34326663828643,0.0012808783165598593,1.2808783165598594,0.7609472590910159
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2087,2349,472.1666666666854,433405.5555555902,165.02469591048285,2025,214.10830628208268,0.20100752093090055,20.100752093090055,0.0010894338123132886,1.0894338123132885,0.7707533573829064
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2088,2349,541.1666666666832,412547.22222225525,162.68612405507372,2025,214.10830628208268,0.2303817227188945,23.03817227188945,0.0013117690230747346,1.3117690230747345,0.7598309793770381
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2089,2349,612.1666666666671,442538.8888889243,164.17217634371983,2025,214.10830628208268,0.260607350645665,26.060735064566497,0.0013833059241496824,1.3833059241496823,0.7667716362550961
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2090,2349,497.5000000000216,416613.88888892217,160.5165017272005,2025,214.10830628208268,0.21179225202214627,21.179225202214628,0.00119415125915945,1.19415125915945,0.7496976857858274
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2091,2349,504.5000000000224,432977.7777778125,166.3193814356238,2025,214.10830628208268,0.21477224350788524,21.477224350788525,0.001165186819954793,1.165186819954793,0.7768002293965275
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2092,2349,694.1666666666484,449327.7777778137,164.8548038850293,2025,214.10830628208268,0.2955158223357379,29.551582233573793,0.0015449004067803352,1.5449004067803351,0.7699598710002262
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2093,2349,540.0000000000168,426947.2222222564,165.74499597589804,2025,214.10830628208268,0.22988505747127153,22.988505747127153,0.0012647933325091606,1.2647933325091605,0.7741175429108896
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2094,2349,592.8333333333381,422955.55555558944,165.92358458169693,2025,214.10830628208268,0.25237689797076973,25.237689797076975,0.0014016445121629842,1.4016445121629841,0.7749516469627128
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2095,2349,577.3333333333417,436827.7777778127,165.39352882593369,2025,214.10830628208268,0.24577834539520718,24.57783453952072,0.0013216497729844358,1.3216497729844359,0.7724760038409326
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2096,2349,698.833333333314,455708.33333336975,171.06620823679398,2025,214.10830628208268,0.2975024833262299,29.75024833262299,0.001533510103318844,1.533510103318844,0.7989704426105648
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2097,2349,505.5000000000225,411813.8888889218,163.31214967022456,2025,214.10830628208268,0.2151979565772765,21.51979565772765,0.0012274962395364246,1.2274962395364246,0.7627548529344051
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2098,2349,406.50000000001125,408200.0000000327,164.29159529289018,2025,214.10830628208268,0.1730523627075399,17.30523627075399,0.0009958353748162143,0.9958353748162143,0.7673293864481832
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2099,2349,473.5000000000189,415183.33333336655,167.40299130139613,2025,214.10830628208268,0.20157513835675558,20.15751383567556,0.0011404600377342884,1.1404600377342884,0.7818612654889092
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2100,2349,559.1666666666791,437005.55555559054,161.80890951578309,2025,214.10830628208268,0.23804455796793492,23.80445579679349,0.0012795413228918293,1.2795413228918293,0.7557339195547306
