scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2095-2100,energy_burden_secondary,2095,2100,6,6.7504654142377625,0.9738269656366233,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2095-2100,habitability,2095,2100,6,2.148849181956917,0.8629248982466156,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2095-2100,operational_adequacy,2095,2100,6,0.23772746197001834,1.000337948940328,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,energy_burden_secondary,2025,2034,10,6.883382752675971e-16,1.0540925533894596,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,habitability,2025,2034,10,1.7763568394002506e-16,0.7936261057656284,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,operational_adequacy,2025,2034,10,-3.275157922644212e-16,0.6472320082316863,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,energy_burden_secondary,2035,2044,10,0.9124614686349988,0.8475720559031757,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,habitability,2035,2044,10,-0.2574471824974279,0.8469964465400736,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,operational_adequacy,2035,2044,10,0.28549294554386984,0.7544291805872357,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2045-2054,energy_burden_secondary,2045,2054,10,1.3030194586360817,0.8471994284314694,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
