scenario,building,city,climate_type,decade,metric,label,role,family,subfamily,unit,analysis_tier,failure_relevant,year_start,year_end,n_years,metric_value_mean,metric_value_sd,delta_abs_mean,delta_log_mean,delta_std_mean,breach_frequency_pct
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,daily_edh_exceedance_days,Daily EDH exceedance days,response,building_responses,habitability,days,main,True,2055,2064,10,4.7,1.9465068427541912,2.7,0.7649690208236157,2.134537420613656,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,hdd_18,Heating degree days,driver,climate_drivers,demand_background,degree-days,main,False,2055,2064,10,527.004,91.2007695142974,-287.099,-0.4498746096953464,-1.859382235399351,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,heating_peak_demand_kw,Heating peak demand,response,building_responses,operational_adequacy,kW,main,False,2055,2064,10,52.34942099999999,18.96797273905174,-21.927997999999995,-0.42213536018811926,-0.5901460686410823,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,heating_unmet_hours,Heating unmet hours,response,building_responses,operational_adequacy,h,main,True,2055,2064,10,4.9670000000000005,3.47485267473473,-5.514999999999999,-1.373205603069831,-0.9984617138385194,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,heatwave_days,Heatwave days,driver,climate_drivers,persistence_heatwave,days,main,False,2055,2064,10,0.0,0.0,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,indoor_rh_max_pct,Indoor RH max,response,building_responses,durability,%,supplementary,False,2055,2064,10,75.55282658985816,1.8128846822928648,1.2354111921769089,0.016221586523728692,0.36362695975272097,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,maximum_consecutive_hot_days,Maximum consecutive hot days,driver,climate_drivers,persistence_heatwave,days,main,False,2055,2064,10,0.2,0.6324555320336759,0.2,1.4508658238524093,0.26160278851217544,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,maximum_daily_edh_k_h,Maximum daily EDH,response,building_responses,habitability,K h,main,True,2055,2064,10,11.77456,2.5094386615336908,4.20284,0.42138351248705186,2.248360494291013,40.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,maximum_delta_t_k,Maximum delta_t,response,building_responses,habitability,K,main,False,2055,2064,10,1.08599,0.2127214268578613,0.19998000000000002,0.1876723047904852,1.9339292418989658,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,maximum_wetbulb_c,Maximum wet-bulb temperature,driver,climate_drivers,humid_heat_stress,C,main,False,2055,2064,10,28.19863582973781,0.831081034660868,2.1724908550970836,0.07978099600531219,1.6948509651657198,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,peak_ghi_w_m2,Peak GHI,driver,climate_drivers,solar_burden,W/m2,main,False,2055,2064,10,1192.1100000000001,65.28012203828459,25.550000000000068,0.020292064692213518,0.5295102636306496,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,peak_operative_temperature_c,Peak operative temperature,response,building_responses,habitability,C,main,False,2055,2064,10,27.085978159483307,0.21270764456166832,0.19996716971199965,0.007382444537512844,1.9335785993684922,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,summer_mean_drybulb_c,Summer mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2055,2064,10,21.347559999999998,0.9840243099978104,1.1178499999999993,0.05283447727619213,0.997270526520382,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,annual_cooling_electricity_kwh,Annual cooling electricity,response,building_responses,energy_burden,kWh,supporting,False,2065,2074,10,88913.888888896,12025.584580357721,24529.722222224187,0.3149968232114649,2.1456593673311755,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,annual_edh_c_h,Annual EDH,response,building_responses,habitability,C h,main,True,2065,2074,10,221.3765,49.95546508018695,93.28391,0.526920466818363,2.5366044777937673,10.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,annual_ghi_kwh_m2,Annual GHI,driver,climate_drivers,solar_burden,kWh/m2,main,False,2065,2074,10,1888.381,52.99883655955733,-29.537999999999876,-0.015879006889075155,-0.4649379107030203,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,annual_heating_electricity_kwh,Annual heating electricity,response,building_responses,energy_burden,kWh,supporting,False,2065,2074,10,907.7777777778505,402.43131118180236,-800.8333333333973,-0.7364740872964359,-1.2843241855535523,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,annual_mean_drybulb_c,Annual mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2065,2074,10,19.20323953576865,0.942647274498749,1.556850456621041,0.08348491959890092,1.916491786945636,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,cdd_18,Cooling degree days,driver,climate_drivers,demand_background,degree-days,main,False,2065,2074,10,979.0649999999999,206.23182033010002,294.021,0.3386238293296039,1.9164818825153418,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,cooling_peak_demand_kw,Cooling peak demand,response,building_responses,operational_adequacy,kW,main,False,2065,2074,10,68.02365999999999,2.3700240905714183,2.934429999999999,0.0435462851776939,1.5857703390200828,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,response,building_responses,operational_adequacy,h,main,True,2065,2074,10,386.900000000009,61.70580339676629,152.5333333333443,0.49029741627130186,2.640509987975914,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,daily_edh_exceedance_days,Daily EDH exceedance days,response,building_responses,habitability,days,main,True,2065,2074,10,4.0,2.5385910352879697,2.0,0.47229522883110675,1.5811388300841898,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,hdd_18,Heating degree days,driver,climate_drivers,demand_background,degree-days,main,False,2065,2074,10,539.871,150.10063620044315,-274.23199999999997,-0.4506104362846104,-1.776049756975938,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,heating_peak_demand_kw,Heating peak demand,response,building_responses,operational_adequacy,kW,main,False,2065,2074,10,54.18738,17.046513844773855,-20.090038999999997,-0.367766119414094,-0.5406812575728993,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2065-2074,heating_unmet_hours,Heating unmet hours,response,building_responses,operational_adequacy,h,main,True,2065,2074,10,4.601,4.3486944400973195,-5.880999999999999,-3.978283518949806,-1.064724086869326,0.0
