scenario,building,city,climate_type,year,decade,score_family,family_score,component_count,component_metrics,breached_component_count,breached_component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055,2055-2064,habitability,1.7802030825827835,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055,2055-2064,operational_adequacy,0.49137333661625626,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2056,2055-2064,energy_burden_secondary,3.094728579148536,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2056,2055-2064,habitability,4.945394524248879,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,1,maximum_daily_edh_k_h,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2056,2055-2064,operational_adequacy,1.2784744983519072,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2057,2055-2064,energy_burden_secondary,1.7692875780057558,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2057,2055-2064,habitability,2.1636399346976853,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2057,2055-2064,operational_adequacy,0.2760682748323673,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2058,2055-2064,energy_burden_secondary,3.946120928920178,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2058,2055-2064,habitability,2.166489008524547,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,1,annual_edh_c_h,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2058,2055-2064,operational_adequacy,1.5650596785160327,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,1,cooling_setpoint_not_met_occupied_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2059,2055-2064,energy_burden_secondary,2.1949837528915763,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2059,2055-2064,habitability,1.064361701449522,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2059,2055-2064,operational_adequacy,1.215884373434982,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2060,2055-2064,energy_burden_secondary,0.7196257769174289,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2060,2055-2064,habitability,1.0033803288273913,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,1,maximum_daily_edh_k_h,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2060,2055-2064,operational_adequacy,-0.417184948318756,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2061,2055-2064,energy_burden_secondary,1.9245500527500696,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2061,2055-2064,habitability,2.459661173492263,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,1,maximum_daily_edh_k_h,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2061,2055-2064,operational_adequacy,0.5740296105935796,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2062,2055-2064,energy_burden_secondary,2.0309740964715246,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2062,2055-2064,habitability,1.1925692130139613,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2062,2055-2064,operational_adequacy,1.8368753507806321,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2063,2055-2064,energy_burden_secondary,1.3776082207477967,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2063,2055-2064,habitability,3.8783639631987064,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,1,maximum_daily_edh_k_h,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2063,2055-2064,operational_adequacy,1.791183415049033,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2064,2055-2064,energy_burden_secondary,2.5664959968415895,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
