city,metric,slope_per_year,normalized_slope,r2,p_value,mean,std,abs_norm_slope
Phoenix,facility_purchased_electricity_energy_total_kwh,657.757,0.00150684,0.770793,2.23421e-25,436514,16435.5,0.00150684
Phoenix,electricity_facility_annual_gj,2.36791,0.00150683,0.770786,2.23675e-25,1571.45,59.1676,0.00150683
Phoenix,electricity_facility_annual_kwh,657.753,0.00150683,0.770786,2.23675e-25,436514,16435.4,0.00150683
Montreal,rep_zone_rh_pct_mean,0.0484501,0.0014869,0.811309,1.6322e-28,32.5847,1.18001,0.0014869
Toronto,rep_zone_rh_pct_mean,0.0494479,0.00147306,0.855965,7.2773e-33,33.5681,1.17248,0.00147306
Miami,outdoor_wetbulb_c_max,0.0431768,0.00146973,0.685808,2.76298e-20,29.3773,1.14376,0.00146973
Vancouver,rep_zone_sensible_heating_rate_max_kw,-0.0350902,-0.00145719,0.160248,0.000339609,24.0808,1.92298,0.00145719
Vancouver,rep_zone_sensible_heating_energy_peak_timestep_kwh,-0.00584837,-0.00145719,0.160248,0.000339609,4.01346,0.320497,0.00145719
Montreal,rep_zone_rh_pct_max,0.0986378,0.00143892,0.439221,6.96306e-11,68.5498,3.26503,0.00143892
Los_Angeles,rep_zone_humidity_ratio_max,2.33306e-05,0.00142219,0.247678,4.78555e-06,0.0164047,0.00102842,0.00142219
Los_Angeles,rep_zone_humidity_ratio_min,2.18046e-06,0.00140987,0.0143166,0.303235,0.00154657,0.000399773,0.00140987
Toronto,rep_zone_sensible_heating_energy_peak_timestep_kwh,-0.00502159,-0.00136073,0.0509068,0.05003,3.69036,0.488246,0.00136073
Toronto,rep_zone_sensible_heating_rate_max_kw,-0.0301295,-0.00136073,0.0509068,0.05003,22.1422,2.92947,0.00136073
Miami,outdoor_drybulb_c_max,0.0459768,0.00133093,0.820506,2.55537e-29,34.5447,1.11348,0.00133093
Toronto,outdoor_drybulb_c_max,0.0433739,0.00132567,0.330882,5.47933e-08,32.7184,1.65416,0.00132567
Montreal,outdoor_drybulb_c_max,0.042242,0.00132289,0.382859,2.56902e-09,31.9316,1.49765,0.00132289
Phoenix,daily_edh_max_k_h,-0.020133,-0.00129891,0.0849675,0.0106251,15.4999,1.51519,0.00129891
Phoenix,outdoor_drybulb_c_max,0.0604853,0.00127617,0.579136,1.49164e-15,47.3961,1.74359,0.00127617
Phoenix,outdoor_rh_pct_mean,-0.0401072,-0.00122217,0.0744375,0.017102,32.8163,3.22486,0.00122217
Montreal,cooling_electricity_peak_kw,0.0897428,0.00117645,0.314119,1.40216e-07,76.2825,3.51267,0.00117645
Montreal,cooling_electricity_peak_w,89.7428,0.00117645,0.314119,1.40216e-07,76282.5,3512.67,0.00117645
Vancouver,rep_zone_humidity_ratio_max,1.37253e-05,0.00115633,0.33346,4.7331e-08,0.0118697,0.000521417,0.00115633
Toronto,outdoor_rh_pct_min,0.0419822,0.00112943,0.0838524,0.011174,37.1711,3.18048,0.00112943
Los_Angeles,rep_zone_sensible_cooling_energy_total_kwh,82.7939,0.00111183,0.563445,5.85522e-15,74466.3,2419.68,0.00111183
Los_Angeles,rep_zone_sensible_cooling_rate_mean_kw,0.00945136,0.00111183,0.563445,5.85522e-15,8.50072,0.276219,0.00111183
Toronto,cooling_electricity_peak_w,85.7852,0.00111164,0.224405,1.54487e-05,77170.1,3972.66,0.00111164
Toronto,cooling_electricity_peak_kw,0.0857852,0.00111164,0.224405,1.54487e-05,77.1701,3.97266,0.00111164
Miami,daily_edh_max_k_h,-0.00779273,-0.00105832,0.00851728,0.427826,7.36328,1.85236,0.00105832
Montreal,rep_zone_sensible_cooling_energy_total_kwh,58.7601,0.00102169,0.63384,8.26895e-18,57512.6,1619.12,0.00102169
Montreal,rep_zone_sensible_cooling_rate_mean_kw,0.00670777,0.00102169,0.63384,8.26895e-18,6.56536,0.184831,0.00102169
Phoenix,outdoor_wetbulb_c_max,0.0277712,0.00101853,0.456096,2.20848e-11,27.2659,0.902096,0.00101853
Miami,rep_zone_sensible_cooling_rate_mean_kw,0.010514,0.00101518,0.84718,6.53974e-32,10.3569,0.250592,0.00101518
Phoenix,rep_zone_humidity_ratio_mean,6.34883e-06,0.000981705,0.133533,0.00117077,0.00646715,0.000381141,0.000981705
Vancouver,rep_zone_rh_pct_max,0.0596997,0.000968843,0.278072,9.86935e-07,61.6195,2.48358,0.000968843
Montreal,electricity_hvac_peak_kw,-0.199767,-0.00091155,0.111182,0.00324607,219.15,13.1429,0.00091155
Montreal,electricity_hvac_peak_w,-199.767,-0.00091155,0.111182,0.00324607,219150,13142.9,0.00091155
Montreal,facility_hvac_electricity_demand_rate_max_kw,-0.199767,-0.000911522,0.111182,0.00324607,219.157,13.1429,0.000911522
Phoenix,rep_zone_rh_pct_mean,0.030421,0.000910484,0.120425,0.00213213,33.4119,1.92309,0.000910484
Montreal,heating_electricity_peak_w,-191.17,-0.000898089,0.109583,0.00349038,212863,12668.7,0.000898089
Montreal,heating_electricity_peak_kw,-0.19117,-0.000898089,0.109583,0.00349038,212.863,12.6687,0.000898089
Vancouver,electricity_facility_annual_gj,-1.1903,-0.000881959,0.479382,4.27297e-12,1349.61,37.714,0.000881959
Vancouver,electricity_facility_annual_kwh,-330.64,-0.000881959,0.479382,4.27297e-12,374892,10476.1,0.000881959
Vancouver,facility_purchased_electricity_energy_total_kwh,-330.639,-0.000881959,0.47938,4.27356e-12,374892,10476.1,0.000881959
